browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"150.0",1536,864,Windows,en-US,2026-04-26_14:44:00,2026-04-26_15:44:00,2026-04-22_21:10:27,https://www.testable.org/experiment/20536/669226/start,344.556

rowNo,type,stim1,textColor,condition1,condition2,stimFormat,ITI,key,feedback,keyboard,random,title,content,responseType,head,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"2",form,"","","","","","","","","","",Participant number,Please enter the participant number included in the instruction email here.,box,Please enter the participant number included in your instruction email below:,,"","",73594,"8747",7417,"0",NA
"4",test,XXXX,red,filler,"",word,"800",left,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,96,"8.33",116924,left,1584,"1",""
"5",test,XXXX,yellow,filler,"",word,"800",right,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,96,"8.33",121949,right,670,"1",""
"6",test,XXXX,green,filler,"",word,"800",up,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,96,"8.33",125208,up,871,"1",""
"7",test,XXXX,blue,filler,"",word,"800",down,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,96,"8.33",128240,down,652,"1",""
"8",test,XXXX,red,filler,"",word,"800",left,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,96,"8.33",131092,left,1071,"1",""
"9",test,XXXX,yellow,filler,"",word,"800",right,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,96,"8.33",133933,right,789,"1",""
"10",test,XXXX,green,filler,"",word,"800",up,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,96,"8.33",136939,up,1219,"1",""
"11",test,XXXX,blue,filler,"",word,"800",down,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,96,"8.33",140125,down,1328,"1",""
"16",test,YELLOW,red,incongruent,english,word,"800",left,"",left right up down,"1","","","","",800,96,"8.33",154784,left,2010,"1",""
"17",test,GREEN,green,congruent,english,word,"800",up,"",left right up down,"1","","","","",800,96,"8.33",156474,up,891,"1",""
"18",test,GREEN,yellow,incongruent,english,word,"800",right,"",left right up down,"1","","","","",800,96,"8.33",158646,right,1372,"1",""
"19",test,BLUE,blue,congruent,english,word,"800",down,"",left right up down,"1","","","","",800,96,"8.33",161070,down,1626,"1",""
"15",test,YELLOW,yellow,congruent,english,word,"800",right,"",left right up down,"1","","","","",800,96,"8.33",163575,right,1711,"1",""
"20",test,BLUE,green,incongruent,english,word,"800",up,"",left right up down,"1","","","","",800,96,"8.33",166142,up,1766,"1",""
"14",test,RED,blue,incongruent,english,word,"800",down,"",left right up down,"1","","","","",800,96,"8.33",168648,down,1709,"1",""
"13",test,RED,red,congruent,english,word,"800",left,"",left right up down,"1","","","","",800,96,"8.33",170339,left,892,"1",""
"22",test,RED,yellow,incongruent,english,word,"800",right,"",left right up down,"2","","","","",800,96,"8.33",171923,right,785,"1",""
"28",test,BLUE,red,incongruent,english,word,"800",left,"",left right up down,"2","","","","",800,96,"8.33",175472,left,2751,"1",""
"23",test,YELLOW,yellow,congruent,english,word,"800",right,"",left right up down,"2","","","","",800,96,"8.33",177500,right,1229,"1",""
"21",test,RED,red,congruent,english,word,"800",left,"",left right up down,"2","","","","",800,96,"8.33",179561,left,1265,"1",""
"24",test,YELLOW,green,incongruent,english,word,"800",up,"",left right up down,"2","","","","",800,96,"8.33",182028,up,1674,"1",""
"26",test,GREEN,blue,incongruent,english,word,"800",down,"",left right up down,"2","","","","",800,96,"8.33",184748,down,1920,"1",""
"25",test,GREEN,green,congruent,english,word,"800",up,"",left right up down,"2","","","","",800,96,"8.33",188406,up,2862,"1",""
"27",test,BLUE,blue,congruent,english,word,"800",down,"",left right up down,"2","","","","",800,96,"8.33",190463,down,1260,"1",""
"36",test,BLUE,red,incongruent,english,word,"800",left,"",left right up down,"3","","","","",800,96,"8.33",192138,left,878,"1",""
"35",test,BLUE,blue,congruent,english,word,"800",down,"",left right up down,"3","","","","",800,96,"8.33",194528,down,1592,"1",""
"31",test,YELLOW,yellow,congruent,english,word,"800",right,"",left right up down,"3","","","","",800,96,"8.33",195790,right,463,"1",""
"29",test,RED,red,congruent,english,word,"800",left,"",left right up down,"3","","","","",800,96,"8.33",197320,left,736,"1",""
"30",test,RED,green,incongruent,english,word,"800",up,"",left right up down,"3","","","","",800,96,"8.33",200268,up,2150,"1",""
"32",test,YELLOW,blue,incongruent,english,word,"800",down,"",left right up down,"3","","","","",800,96,"8.33",202316,down,1249,"1",""
"34",test,GREEN,yellow,incongruent,english,word,"800",right,"",left right up down,"3","","","","",800,96,"8.33",208104,right,4985,"1",""
"33",test,GREEN,green,congruent,english,word,"800",up,"",left right up down,"3","","","","",800,96,"8.33",210017,up,1116,"1",""
"38",test,लाल,red,congruent,hindi,word,"800",left,"",left right up down,"4","","","","",800,96,"8.33",215815,left,1701,"1",""
"41",test,पीला,red,incongruent,hindi,word,"800",left,"",left right up down,"4","","","","",800,96,"8.33",217739,right,1123,"0",""
"43",test,हरा,yellow,incongruent,hindi,word,"800",right,"",left right up down,"4","","","","",800,96,"8.33",224258,right,5726,"1",""
"39",test,लाल,blue,incongruent,hindi,word,"800",down,"",left right up down,"4","","","","",800,96,"8.33",226136,down,1080,"1",""
"45",test,नीला,green,incongruent,hindi,word,"800",up,"",left right up down,"4","","","","",800,96,"8.33",228182,up,1251,"1",""
"42",test,हरा,green,congruent,hindi,word,"800",up,"",left right up down,"4","","","","",800,96,"8.33",230192,up,1211,"1",""
"44",test,नीला,blue,congruent,hindi,word,"800",down,"",left right up down,"4","","","","",800,96,"8.33",232347,down,1359,"1",""
"40",test,पीला,yellow,congruent,hindi,word,"800",right,"",left right up down,"4","","","","",800,96,"8.33",234127,right,981,"1",""
"51",test,हरा,red,incongruent,hindi,word,"800",left,"",left right up down,"5","","","","",800,96,"8.33",237019,up,2098,"0",""
"52",test,नीला,blue,congruent,hindi,word,"800",down,"",left right up down,"5","","","","",800,96,"8.33",240004,down,2192,"1",""
"48",test,पीला,yellow,congruent,hindi,word,"800",right,"",left right up down,"5","","","","",800,96,"8.33",241598,right,794,"1",""
"46",test,लाल,red,congruent,hindi,word,"800",left,"",left right up down,"5","","","","",800,96,"8.33",243593,left,1198,"1",""
"49",test,पीला,blue,incongruent,hindi,word,"800",down,"",left right up down,"5","","","","",800,96,"8.33",245749,right,1362,"0",""
"50",test,हरा,green,congruent,hindi,word,"800",up,"",left right up down,"5","","","","",800,96,"8.33",249148,up,2603,"1",""
"53",test,नीला,yellow,incongruent,hindi,word,"800",right,"",left right up down,"5","","","","",800,96,"8.33",251862,right,1918,"1",""
"47",test,लाल,green,incongruent,hindi,word,"800",up,"",left right up down,"5","","","","",800,96,"8.33",258614,up,5954,"1",""
"61",test,नीला,red,incongruent,hindi,word,"800",left,"",left right up down,"6","","","","",800,96,"8.33",260695,down,1284,"0",""
"59",test,हरा,blue,incongruent,hindi,word,"800",down,"",left right up down,"6","","","","",800,96,"8.33",266110,down,4617,"1",""
"54",test,लाल,red,congruent,hindi,word,"800",left,"",left right up down,"6","","","","",800,96,"8.33",271142,left,4234,"1",""
"55",test,लाल,yellow,incongruent,hindi,word,"800",right,"",left right up down,"6","","","","",800,96,"8.33",273318,right,1377,"1",""
"58",test,हरा,green,congruent,hindi,word,"800",up,"",left right up down,"6","","","","",800,96,"8.33",275670,up,1554,"1",""
"57",test,पीला,green,incongruent,hindi,word,"800",up,"",left right up down,"6","","","","",800,96,"8.33",279023,up,2557,"1",""
"60",test,नीला,blue,congruent,hindi,word,"800",down,"",left right up down,"6","","","","",800,96,"8.33",280795,down,972,"1",""
"56",test,पीला,yellow,congruent,hindi,word,"800",right,"",left right up down,"6","","","","",800,96,"8.33",283426,right,1833,"1",""
"69",test,NEELA,blue,congruent,latin hindi,word,"800",down,"",left right up down,"7","","","","",800,96,"8.33",288412,down,2390,"1",""
"63",test,LAAL,red,congruent,latin hindi,word,"800",left,"",left right up down,"7","","","","",800,96,"8.33",290543,left,1338,"1",""
"65",test,PEELA,yellow,congruent,latin hindi,word,"800",right,"",left right up down,"7","","","","",800,96,"8.33",292070,right,731,"1",""
"70",test,NEELA,yellow,incongruent,latin hindi,word,"800",right,"",left right up down,"7","","","","",800,96,"8.33",294534,down,1659,"0",""
"64",test,LAAL,green,incongruent,latin hindi,word,"800",up,"",left right up down,"7","","","","",800,96,"8.33",296577,up,1247,"1",""
"67",test,HARA,green,congruent,latin hindi,word,"800",up,"",left right up down,"7","","","","",800,96,"8.33",298822,up,1450,"1",""
