browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,147.0.0.0,1470,956,MacOS,en-US,2026-04-27_17:48:11,2026-04-27_18:48:11,2026-04-22_21:10:27,https://www.testable.org/experiment/20536/669226/start,294.991

rowNo,type,stim1,textColor,condition1,condition2,stimFormat,ITI,key,feedback,keyboard,random,title,content,responseType,head,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"2",form,"","","","","","","","","","",Participant number,Please enter the participant number included in the instruction email here.,box,Please enter the participant number included in your instruction email below:,,"","",80572,"9565",15292,"0",NA
"4",test,XXXX,red,filler,"",word,"800",left,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",801,48,"16.68",112248,left,4983,"1",""
"5",test,XXXX,yellow,filler,"",word,"800",right,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",801,48,"16.69",117961,right,2830,"1",""
"6",test,XXXX,green,filler,"",word,"800",up,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",122444,up,2113,"1",""
"7",test,XXXX,blue,filler,"",word,"800",down,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.66",125061,down,947,"1",""
"8",test,XXXX,red,filler,"",word,"800",left,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",130147,left,2916,"1",""
"9",test,XXXX,yellow,filler,"",word,"800",right,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.66",132823,right,793,"1",""
"10",test,XXXX,green,filler,"",word,"800",up,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",135016,up,585,"1",""
"11",test,XXXX,blue,filler,"",word,"800",down,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.66",136892,down,345,"1",""
"16",test,YELLOW,red,incongruent,english,word,"800",left,"",left right up down,"1","","","","",800,48,"16.67",147139,left,875,"1",""
"15",test,YELLOW,yellow,congruent,english,word,"800",right,"",left right up down,"1","","","","",800,48,"16.66",148857,right,927,"1",""
"19",test,BLUE,blue,congruent,english,word,"800",down,"",left right up down,"1","","","","",800,48,"16.67",152533,down,2886,"1",""
"18",test,GREEN,yellow,incongruent,english,word,"800",right,"",left right up down,"1","","","","",801,48,"16.68",155447,right,2117,"1",""
"20",test,BLUE,green,incongruent,english,word,"800",up,"",left right up down,"1","","","","",800,48,"16.67",157578,up,1332,"1",""
"13",test,RED,red,congruent,english,word,"800",left,"",left right up down,"1","","","","",800,48,"16.67",159316,left,936,"1",""
"14",test,RED,blue,incongruent,english,word,"800",down,"",left right up down,"1","","","","",800,48,"16.67",161419,down,1306,"1",""
"17",test,GREEN,green,congruent,english,word,"800",up,"",left right up down,"1","","","","",800,48,"16.67",164005,up,1792,"1",""
"25",test,GREEN,green,congruent,english,word,"800",up,"",left right up down,"2","","","","",800,48,"16.67",165942,up,1145,"1",""
"22",test,RED,yellow,incongruent,english,word,"800",right,"",left right up down,"2","","","","",800,48,"16.67",167839,right,1109,"1",""
"26",test,GREEN,blue,incongruent,english,word,"800",down,"",left right up down,"2","","","","",800,48,"16.67",170371,down,1741,"1",""
"21",test,RED,red,congruent,english,word,"800",left,"",left right up down,"2","","","","",800,48,"16.67",172142,left,978,"1",""
"24",test,YELLOW,green,incongruent,english,word,"800",up,"",left right up down,"2","","","","",800,48,"16.67",173962,up,1032,"1",""
"27",test,BLUE,blue,congruent,english,word,"800",down,"",left right up down,"2","","","","",801,48,"16.68",175805,down,1041,"1",""
"28",test,BLUE,red,incongruent,english,word,"800",left,"",left right up down,"2","","","","",800,48,"16.67",177596,left,999,"1",""
