browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Chrome,147.0.0.0,1920,1080,Windows,en-US,2026-04-28_17:09:17,2026-04-28_22:39:17,2026-04-22_21:10:27,https://www.testable.org/experiment/20536/669226/start,389.772

rowNo,type,stim1,textColor,condition1,condition2,stimFormat,ITI,key,feedback,keyboard,random,title,content,responseType,head,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"2",form,"","","","","","","","","","",Participant number,Please enter the participant number included in the instruction email here.,box,Please enter the participant number included in your instruction email below:,,"","",87077,"7138",22026,"0",NA
"4",test,XXXX,red,filler,"",word,"800",left,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",169782,left,3127,"1",""
"5",test,XXXX,yellow,filler,"",word,"800",right,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",174878,right,1207,"1",""
"6",test,XXXX,green,filler,"",word,"800",up,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",182790,up,1853,"1",""
"7",test,XXXX,blue,filler,"",word,"800",down,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",186742,down,1271,"1",""
"8",test,XXXX,red,filler,"",word,"800",left,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",189758,up,804,"0",""
"9",test,XXXX,yellow,filler,"",word,"800",right,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",193126,left,706,"0",""
"10",test,XXXX,green,filler,"",word,"800",up,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",196774,up,1736,"1",""
"11",test,XXXX,blue,filler,"",word,"800",down,correct: That's right!; incorrect: That's not the correct answer.,left right up down,"","","","","",800,48,"16.67",199582,down,1095,"1",""
"13",test,RED,red,congruent,english,word,"800",left,"",left right up down,"1","","","","",800,48,"16.67",208950,left,1461,"1",""
"17",test,GREEN,green,congruent,english,word,"800",up,"",left right up down,"1","","","","",800,48,"16.67",211574,up,1836,"1",""
"16",test,YELLOW,red,incongruent,english,word,"800",left,"",left right up down,"1","","","","",800,48,"16.67",213462,right,1090,"0",""
"20",test,BLUE,green,incongruent,english,word,"800",up,"",left right up down,"1","","","","",800,48,"16.67",219687,up,5431,"1",""
"15",test,YELLOW,yellow,congruent,english,word,"800",right,"",left right up down,"1","","","","",800,48,"16.67",224903,right,4415,"1",""
"14",test,RED,blue,incongruent,english,word,"800",down,"",left right up down,"1","","","","",800,48,"16.67",226815,down,1127,"1",""
"18",test,GREEN,yellow,incongruent,english,word,"800",right,"",left right up down,"1","","","","",800,48,"16.67",229511,right,1906,"1",""
"19",test,BLUE,blue,congruent,english,word,"800",down,"",left right up down,"1","","","","",800,48,"16.67",231343,down,1038,"1",""
"22",test,RED,yellow,incongruent,english,word,"800",right,"",left right up down,"2","","","","",800,48,"16.67",235087,right,2949,"1",""
"27",test,BLUE,blue,congruent,english,word,"800",down,"",left right up down,"2","","","","",800,48,"16.66",236655,down,783,"1",""
"21",test,RED,red,congruent,english,word,"800",left,"",left right up down,"2","","","","",800,48,"16.67",238279,left,824,"1",""
"24",test,YELLOW,green,incongruent,english,word,"800",up,"",left right up down,"2","","","","",800,48,"16.67",240759,right,1688,"0",""
"25",test,GREEN,green,congruent,english,word,"800",up,"",left right up down,"2","","","","",800,48,"16.67",250432,up,8877,"1",""
"23",test,YELLOW,yellow,congruent,english,word,"800",right,"",left right up down,"2","","","","",800,48,"16.67",253448,right,2226,"1",""
"28",test,BLUE,red,incongruent,english,word,"800",left,"",left right up down,"2","","","","",800,48,"16.66",256232,left,1993,"1",""
"26",test,GREEN,blue,incongruent,english,word,"800",down,"",left right up down,"2","","","","",800,48,"16.67",258752,down,1730,"1",""
"34",test,GREEN,yellow,incongruent,english,word,"800",right,"",left right up down,"3","","","","",800,48,"16.67",262200,right,2661,"1",""
"32",test,YELLOW,blue,incongruent,english,word,"800",down,"",left right up down,"3","","","","",800,48,"16.67",264360,down,1371,"1",""
"35",test,BLUE,blue,congruent,english,word,"800",down,"",left right up down,"3","","","","",800,48,"16.67",265864,down,709,"1",""
"30",test,RED,green,incongruent,english,word,"800",up,"",left right up down,"3","","","","",800,48,"16.68",271168,up,4512,"1",""
"29",test,RED,red,congruent,english,word,"800",left,"",left right up down,"3","","","","",800,48,"16.67",272776,left,821,"1",""
"33",test,GREEN,green,congruent,english,word,"800",up,"",left right up down,"3","","","","",800,48,"16.67",275208,up,1636,"1",""
